company,title,url,application_url,apply_status,apply_error,apply_attempts,applied_at,last_attempted_at
JPMorganChase,AWM Risk Analytics Group – Data Scientist - Vice President,https://www.linkedin.com/jobs/view/4364048099,https://JPMorganChase.contacthr.com/150684354,in_progress,,0,,2026-04-17T13:31:48.817665+00:00
Ally,Sr Specialist Data Science - GenAI,https://www.linkedin.com/jobs/view/4397071346,https://www.linkedin.com/jobs/view/4397071346/,in_progress,stuck,2,,2026-04-17T13:26:54.366919+00:00
Ally,Sr Specialist Data Science - ML,https://www.linkedin.com/jobs/view/4397069348,https://ally.avature.net/careers/Success?jobId=15831,applied,,0,2026-04-17T13:31:45.100150+00:00,2026-04-17T13:26:33.063836+00:00
William Blair,Lead Data Scientist – AI Engineer,https://www.linkedin.com/jobs/view/4383617455,https://www.williamblair.com/Careers/job-description?gh_jid=5079388007&gh_src=b3f7b8777us,in_progress,,0,,2026-04-17T13:25:51.315525+00:00
PayPal,Sr Data Scientist,https://www.linkedin.com/jobs/view/4401770640,https://paypal.eightfold.ai/careers?Application_questions_Q_JOB_BOARD=Job+Board+-+InDeed&Application_questions_Q_TOC=Yes%2C+I+have+read+and+consent+to+this+Privacy+Statement.&Application_questions_Q_NDA=Yes%2C+I+acknowledge+and+agree+to+abide+by+the+terms+of+this+Nondisclosure+Agreement.&Application_questions_Q_ETHNICITY_US=ETHNICITY-3-33&Application_questions_english_disability=NO_REV_2026**,applied,,1,2026-04-17T13:25:47.731627+00:00,2026-04-17T13:00:02.960538+00:00
Johnson & Johnson,Principal Data Scientist – R&D DSDH - Therapeutics Discovery (TD),https://www.builtinla.com/job/principal-data-scientist-r-d-dsdh-therapeutics-discovery-td/9009470,https://jj.wd5.myworkdayjobs.com/en-US/JJ/job/Spring-House%2C-Pennsylvania%2C-United-States-of-America/Principal-Data-Scientist---R-D-DSDH---Therapeutics-Discovery--TD-_R-067794-2/apply/autofillWithResume**,applied,,0,2026-04-17T13:01:13.867084+00:00,2026-04-17T12:58:29.011506+00:00
Children's Hospital of Philadelphia,Data Scientist Manager,https://www.indeed.com/viewjob?jk=b211c78d5b3175be,https://careers.chop.edu/us/en/applythankyou?status=success&jobSeqNo=CHOPUS1022904EXTERNALENUS&jobTitle=Data%20Scientist%20Manager&jobId=1022904&candidateHomeUrl=https://chop.wd108.myworkdayjobs.com/CHOPExternalCareers/login?Job_Application_ID=81227c6c1b3d9001fcfcf690bc860000&jobApplicationId=81227c6c1b3d9001fcfcf690bc860000&candidateId=1349353**,applied,,0,2026-04-17T13:03:09.822602+00:00,2026-04-17T12:49:51.440915+00:00
Optum,"Senior Director, Data Science  - NextGen Forecasting - Hybrid in MN or Remote",https://www.linkedin.com/jobs/view/4400925597,https://uhg.taleo.net/careersection/careersection/candidateacquisition/flow.jsf,applied,,0,2026-04-17T12:58:25.655349+00:00,2026-04-17T12:49:25.093769+00:00
CFS,Data Scientist,https://www.linkedin.com/jobs/view/4397560962,https://www.linkedin.com/jobs/view/4397560962/,failed,expired,99,,2026-04-17T12:49:23.276801+00:00
RemoteHunter,Senior Data Scientist II - AI for Analytics,https://www.linkedin.com/jobs/view/4398797477,,failed,expired,99,,2026-04-17T12:48:57.914175+00:00
