title,snippet,url,raw_url,page,source,query_location,tbs,scraped_at
Senior Data Scientist - Fidelity Investments,"Senior Data Scientist. Fidelity Investments Roanoke, TX. 1 hour ago 35 ... Dallas, TX 2 months ago. Data Scientist. Data Scientist. Gartner. Irving, TX 6 ...",https://www.linkedin.com/jobs/view/4400261496,https://www.linkedin.com/jobs/view/senior-data-scientist-at-fidelity-investments-4400261496?refId=a%2Bugh%2Btoc%2BARKHu1leUyJg%3D%3D&trackingId=gLsvFlshsDc8g8ZhaLvzSg%3D%3D,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475274+00:00
Senior Data Scientist-Banking 10-15 Years,"Senior Data Scientist-Banking 10-15 Years. VBeyond Corporation Irving, TX ... Dallas, TX 1 day ago. Software Engineer (Python). Software Engineer (Python).",https://www.linkedin.com/jobs/view/10,https://www.linkedin.com/jobs/view/senior-data-scientist-banking-10-15-years-at-vbeyond-corporation-4394976813,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475288+00:00
"Gartner hiring Sr Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago ... Dallas, TX 5 days ago. AWM, Marcus by Goldman Sachs, Data Scientist ...",https://www.linkedin.com/jobs/view/4393856197,https://www.linkedin.com/jobs/view/sr-data-scientist-at-gartner-4393856197,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475292+00:00
Senior Data Scientist - Precision Technologies,"Senior Data Scientist. Precision Technologies Texas, United States. 1 day ago ... Dallas, TX 1 day ago. Entry Level Software Engineer. Entry Level Software ...",https://www.linkedin.com/jobs/view/4396305139,https://www.linkedin.com/jobs/view/senior-data-scientist-at-precision-technologies-4396305139,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475296+00:00
Senior Data Scientist – AI Grid Modeling,"Senior Data Scientist – AI Grid Modeling. Sunairio United States. 5 minutes ago ... Dallas, TX 1 day ago. Sr. Marketing Data Scientist. Sr. Marketing Data ...",https://www.linkedin.com/jobs/view/2,https://www.linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-ai-grid-modeling-at-sunairio-4397473872,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475300+00:00
"Mphasis hiring Data Scientist in Dallas, TX | LinkedIn","Get notified about new Data Scientist jobs in Dallas, TX. Sign in to ... Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago.",https://www.linkedin.com/jobs/view/4397788236,https://www.linkedin.com/jobs/view/data-scientist-at-mphasis-4397788236,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475302+00:00
"Alignerr hiring Data Scientist (Masters) in Dallas, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago ... AI/ML Lead -Full Time Only -Dallas, TX I Tampa, FL I Jersy City, NJ ( 3 ...",https://www.linkedin.com/jobs/view/4399221027,https://www.linkedin.com/jobs/view/data-scientist-masters-at-alignerr-4399221027?position=40&pageNum=0&refId=oyV0XpCt2yePgK8yHYOpAw%3D%3D&trackingId=9lRyXhPVakLN4bVGjJf2vg%3D%3D,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475304+00:00
"Kemper hiring Data Scientist in Dallas, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago ... AI/ML Lead -Full Time Only -Dallas, TX I Tampa, FL I Jersy City, NJ ( 3 ...",https://www.linkedin.com/jobs/view/4399230825,https://www.linkedin.com/jobs/view/data-scientist-at-kemper-4399230825,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475307+00:00
"MSC Serv hiring Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 6 days ago. Software Engineer Full Stack & Application ...",https://www.linkedin.com/jobs/view/4397264709,https://www.linkedin.com/jobs/view/data-scientist-at-msc-serv-4397264709,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475309+00:00
"Jobs via Dice hiring AI Data Scientist in Dallas, TX | LinkedIn","Get notified about new Data Scientist jobs in Dallas, TX. ... People also viewed. Senior Data Scientist - Optimization. Senior Data Scientist - Optimization.",https://www.linkedin.com/jobs/view/4394705528,https://www.linkedin.com/jobs/view/ai-data-scientist-at-jobs-via-dice-4394705528,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475311+00:00
